date,channel,campaign,data_label,impressions,clicks,spend,conversions,orders,revenue,promotion,is_holiday
2024-01-01,Google Ads,Search & Shopping,synthetic,42948,1410,528.47,66,54,3034.79,0,1
2024-01-01,Meta Ads,Prospecting & Retargeting,synthetic,52756,1152,398.75,48,40,1882.11,0,1
2024-01-01,Email,Lifecycle,synthetic,21552,685,47.74,50,41,480.94,0,1
2024-01-01,Organic,Content & SEO,synthetic,26459,1359,14.91,75,61,320.14,0,1
2024-01-02,Google Ads,Search & Shopping,synthetic,31843,1049,509.35,48,36,2101.52,0,0
2024-01-02,Meta Ads,Prospecting & Retargeting,synthetic,43922,915,441.30,32,26,1771.96,0,0
2024-01-02,Email,Lifecycle,synthetic,17517,622,46.56,47,42,387.81,0,0
2024-01-02,Organic,Content & SEO,synthetic,21662,1159,14.28,64,55,221.67,0,0
2024-01-03,Google Ads,Search & Shopping,synthetic,42139,1512,644.99,78,63,3527.57,1,0
2024-01-03,Meta Ads,Prospecting & Retargeting,synthetic,68443,1563,571.03,63,50,3035.47,1,0
2024-01-03,Email,Lifecycle,synthetic,16200,557,45.61,39,33,359.12,0,0
2024-01-03,Organic,Content & SEO,synthetic,23949,1280,14.84,67,58,290.82,0,0
2024-01-04,Google Ads,Search & Shopping,synthetic,33883,1132,552.64,56,46,2969.80,0,0
2024-01-04,Meta Ads,Prospecting & Retargeting,synthetic,42493,905,478.60,33,28,1710.84,0,0
2024-01-04,Email,Lifecycle,synthetic,18369,609,47.45,47,38,421.68,0,0
2024-01-04,Organic,Content & SEO,synthetic,25374,1327,13.61,68,53,240.07,0,0
2024-01-05,Google Ads,Search & Shopping,synthetic,31254,974,508.60,48,43,2261.11,0,0
2024-01-05,Meta Ads,Prospecting & Retargeting,synthetic,38184,786,481.26,31,25,1740.73,0,0
2024-01-05,Email,Lifecycle,synthetic,18735,636,49.18,44,36,397.61,0,0
2024-01-05,Organic,Content & SEO,synthetic,22498,1204,15.21,64,53,229.55,0,0
2024-01-06,Google Ads,Search & Shopping,synthetic,27228,862,533.88,39,31,1811.93,0,0
2024-01-06,Meta Ads,Prospecting & Retargeting,synthetic,35000,750,472.18,31,25,1377.81,0,0
2024-01-06,Email,Lifecycle,synthetic,20218,643,46.28,46,35,487.74,0,0
2024-01-06,Organic,Content & SEO,synthetic,31449,1620,14.96,99,79,365.56,0,0
2024-01-07,Google Ads,Search & Shopping,synthetic,28169,894,587.34,41,32,2230.53,0,0
2024-01-07,Meta Ads,Prospecting & Retargeting,synthetic,34208,724,493.06,27,22,1647.42,0,0
2024-01-07,Email,Lifecycle,synthetic,22767,807,45.39,62,49,502.87,0,0
2024-01-07,Organic,Content & SEO,synthetic,29329,1481,14.08,81,65,308.33,0,0
2024-01-08,Google Ads,Search & Shopping,synthetic,34872,1164,537.20,56,44,2577.16,0,0
2024-01-08,Meta Ads,Prospecting & Retargeting,synthetic,47924,984,421.31,42,34,1577.13,0,0
2024-01-08,Email,Lifecycle,synthetic,17911,595,41.05,39,30,384.42,0,0
2024-01-08,Organic,Content & SEO,synthetic,22576,1120,12.73,56,44,208.55,0,0
2024-01-09,Google Ads,Search & Shopping,synthetic,36256,1216,561.54,54,42,2603.24,0,0
2024-01-09,Meta Ads,Prospecting & Retargeting,synthetic,53811,1024,436.10,38,30,1735.24,0,0
2024-01-09,Email,Lifecycle,synthetic,18310,697,44.38,43,35,389.98,0,0
2024-01-09,Organic,Content & SEO,synthetic,23232,1245,13.84,68,54,275.77,0,0
2024-01-10,Google Ads,Search & Shopping,synthetic,35228,1165,535.51,52,42,2167.80,0,0
2024-01-10,Meta Ads,Prospecting & Retargeting,synthetic,45986,925,456.25,34,29,1779.01,0,0
2024-01-10,Email,Lifecycle,synthetic,17145,694,41.43,56,56,380.37,0,0
2024-01-10,Organic,Content & SEO,synthetic,25345,1295,14.21,63,53,247.32,0,0
2024-01-11,Google Ads,Search & Shopping,synthetic,33068,1118,584.82,52,42,2644.73,0,0
2024-01-11,Meta Ads,Prospecting & Retargeting,synthetic,44279,899,425.71,34,28,1522.90,0,0
2024-01-11,Email,Lifecycle,synthetic,17968,636,44.98,51,41,414.25,0,0
2024-01-11,Organic,Content & SEO,synthetic,22300,1189,13.80,61,47,211.49,0,0
2024-01-12,Google Ads,Search & Shopping,synthetic,42029,1280,539.70,66,53,2607.66,0,0
2024-01-12,Meta Ads,Prospecting & Retargeting,synthetic,40495,869,411.51,31,26,1462.84,0,0
2024-01-12,Email,Lifecycle,synthetic,16395,610,43.05,46,41,315.64,0,0
2024-01-12,Organic,Content & SEO,synthetic,26072,1379,13.77,81,65,238.71,0,0
2024-01-13,Google Ads,Search & Shopping,synthetic,26834,823,561.11,38,30,1927.44,0,0
2024-01-13,Meta Ads,Prospecting & Retargeting,synthetic,38811,780,449.29,32,25,1477.26,0,0
2024-01-13,Email,Lifecycle,synthetic,22279,790,43.61,55,41,468.14,0,0
2024-01-13,Organic,Content & SEO,synthetic,28146,1358,13.61,69,64,324.71,0,0
